efi,name
48.9,Afghanistan
64.4,Albania
46.5,Algeria
48.5,Angola
50.4,Argentina
70.3,Armenia
81.0,Australia
72.3,Austria
63.6,Azerbaijan
68.5,Bahrain
55.0,Bangladesh 
54.5,Barbados
58.6,Belarus
67.8,Belgium
58.6,Belize
59.2,Benin
58.4,Bhutan
47.7,Bolivia
60.2,Bosnia and Herzegovina
70.1,Botswana
52.9,Brazil
69.8,Brunei Darussalam
67.9,Bulgaria
59.6,Burkina Faso
52.5,Burma
53.2,Burundi
56.9,Cabo Verde
59.5,Cambodia
51.8,Cameroon
78.5,Canada
51.8,Central African Republic
49.0,Chad
76.5,Chile
57.4,China
69.7,Colombia
55.8,Comoros
65.0,Costa Rica 
63.0,Côte d'Ivoire 
59.4,Croatia
33.9,Cuba
67.9,Cyprus
73.3,Czech Republic
56.4,Democratic Republic of Congo
75.1,Denmark
46.7,Djibouti
63.7,Dominica
62.9,Dominican Republic
49.3,Ecuador
52.6,Egypt
64.1,El Salvador 
45.0,Equatorial Guinea
42.2,Eritrea
79.1,Estonia
52.7,Ethiopia
63.4,Fiji
74.0,Finland
63.3,France
58.6,Gabon
76.0,Georgia
73.8,Germany
56.2,Ghana
55.0,Greece
63.0,Guatemala 
47.6,Guinea
56.1,Guinea-Bissau
58.5,Guyana
49.6,Haiti
58.8,Honduras 
89.8,Hong Kong
65.8,Hungary 
74.4,Iceland
52.6,India
61.9,Indonesia
50.5,Iran
N/A,Iraq
76.7,Ireland
69.7,Israel
62.5,Italy
69.5,Jamaica 
69.6,Japan
66.7,Jordan
69.0,Kazakhstan
53.5,Kenya
50.9,Kiribati
67.9,Kosovo
65.1,Kuwait
61.1,Kyrgyz Republic 
54.0,Laos
74.8,Latvia
53.3,Lebanon
53.9,Lesotho
49.1,Liberia
N/A,Libya
N/A,Liechtenstein
75.8,Lithuania
75.9,Luxembourg
70.7,Macau
70.7,Macedonia
57.4,Madagascar
52.2,Malawi
73.8,Malaysia 
50.3,Maldives
58.6,Mali
67.7,Malta
54.4,Mauritania
74.7,Mauritius
63.6,Mexico
54.1,Micronesia
58.0,Moldova
54.8,Mongolia
62.0,Montenegro
61.5,Morocco
49.9,Mozambique 
62.5,Namibia
55.1,Nepal
83.7,New Zealand
59.2,Nicaragua 
50.8,Niger
57.1,Nigeria
4.9,North Korea
74.0,Norway
62.1,Oman
52.8,Pakistan 
66.3,Panama 
50.9,Papua New Guinea
62.4,Paraguay 
68.9,Peru
65.6,Philippines
68.3,Poland
62.6,Portugal
73.1,Qatar
40.0,Republic of Congo 
69.7,Romania
57.1,Russia
67.6,Rwanda
65.0,Saint Lucia
65.2,Saint Vincent and the Grenadines
58.4,Samoa
55.4,São Tomé and Príncipe 
64.4,Saudi Arabia
55.9,Senegal
58.9,Serbia 
61.8,Seychelles
52.6,Sierra Leone
88.6,Singapore
65.7,Slovakia
59.2,Slovenia
55.0,Solomon Islands
N/A,Somalia
62.3,South Africa
74.3,South Korea
63.6,Spain
57.4,Sri Lanka
48.8,Sudan
48.0,Suriname
61.1,Swaziland
74.9,Sweden
81.5,Switzerland
N/A,Syria
76.5,Taiwan
58.2,Tajikistan
58.6,Tanzania
66.2,Thailand 
61.1,The Bahamas
53.4,The Gambia
75.8,The Netherlands
46.3,Timor-Leste
53.2,Togo
63.0,Tonga
61.2,Trinidad and Tobago
55.7,Tunisia
65.2,Turkey
47.4,Turkmenistan
60.9,Uganda
48.1,Ukraine
76.9,United Arab Emirates
76.4,United Kingdom
75.1,United States
69.7,Uruguay 
52.3,Uzbekistan
67.4,Vanuatu
27.0,Venezuela 
52.4,Vietnam
N/A,Yemen
55.8,Zambia
44.0,Zimbabwe
