Population in severe multidimensional poverty (%),"Population, total (millions)",Expected years of schooling (years),"Human Development Index (HDI), male","Population, ages 65 and older (millions)","Population, urban (%)",Inequality-adjusted education index,"Maternal mortality ratio (deaths per 100,000 live births)","Foreign direct investment, net inflows (% of GDP)",Inequality-adjusted income index,Employment to population ratio (% ages 15 and older),"Population with at least some secondary education, male (% ages 25 and older)","Gross domestic product (GDP), total (2011 PPP $ billions)",Multidimensional poverty index (MPI),"Estimated gross national income per capita, male (2011 PPP$)",Life Expectancy Index,"Labour force participation rate, male (% ages 15 and older)",Gender Development Index (GDI),Inequality in life expectancy (%),Female share of paid employment in non-agriculture,Domestic credit provided by financial sector (% of GDP),Adult literacy rate (% ages 15 and older),Exports and Imports (% of GDP),Youth unemployment rate (% of labour force ages 15-24),HDI rank,Total unemployment rate (% of labour force),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"Mean years of schooling, male (years)",Life expectancy at birth (years),Overall loss in HDI due to inequality (%),Inequality-adjusted life expectancy index,"Population in multidimensional poverty, headcount (thousands)","Dependency ratio, young age (0-14) (per 100 people ages 15-64)","Human Development Index (HDI), female","Net migration rate (per 1,000 people)","Gross enrolment ratio, secondary (% of secondary school-age population)","Under-five mortality rate (per 1,000 live births)","Remittances, inflows (% of GDP)",Inequality-adjusted HDI (IHDI),"Estimated gross national income per capita, female (2011 PPP$)",Primary school teachers trained to teach (%),Inequality in education (%),"Infant mortality rate (per 1,000 live births)",Coefficient of human inequality,Gross domestic product (GDP) per capita (2011 PPP $),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Sex ratio at birth (male to female births),Internet users (% of population),Education index,"Population with at least some secondary education, female (% ages 25 and older)","Youth unemployment rate, female to male ratio","Life expectancy at birth, male (years)","Gross enrolment ratio, pre-primary (% of preschool-age children)",Inequality in income (%),"Mean years of schooling, female (years)",Gross fixed capital formation (% of GDP),Share of seats in parliament (% held by women),"Population, ages 15–64 (millions)","Expected years of schooling, male (years)","Labour force participation rate, female (% ages 15 and older)",Forest area (% of total land area),Population with at least some secondary education (% ages 25 and older),"Adolescent birth rate (births per 1,000 women ages 15-19)",Mean years of schooling (years),name,Median age (years),"Gross enrolment ratio, primary (% of primary school-age population)","Total unemployment rate, female to male ratio",Mobile phone subscriptions (per 100 people),"Life expectancy at birth, female (years)","Population, under age 5 (millions)",Gender Inequality Index (GII),"Gross enrolment ratio, tertiary (% of tertiary school-age population)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, intensity of deprivation (%)","HIV prevalence, adult (% ages 15-49)",Private capital flows (% of GDP),Income index,Labour force participation rate (% ages 15 and older),Gross national income (GNI) per capita (2011 PPP$),Human Development Index (HDI),Population near multidimensional poverty (%),"Expected years of schooling, female (years)"
,35.939927,16.325,0.926374178,5.801,81.828,0.855979054,7,3.59136,0.7554266,61.04763794,100,1537.714176,,52031.69193,0.957292308,70.27946472,0.983456665,4.7362,49.5,,,65.38,13.18043041,10,6.882852077,23.76677606,12.89,82.224,8.878562945,0.911953029,,23.52562832,0.911048859,6.713,,4.9,0.085482,0.838576383,33282.06674,,3.856,4.3,8.662066667,42890.8811,,1.06,88.47,0.890309384,100,0.883627586,80.243,,17.394,13.31,23.32273477,28.26603325,,15.91427286,60.9744873,38.16667052,100,9.771,13.10511486,Canada,40.5541205,,0.843095372,81.930588,84.127,1.942,0.097908733,,,,,-0.1367556,0.91449362,65.56004333,42581.91433,0.920284414,,16.7572194
,4.068897,11.81358,0.695074302,0.405,44.995,0.672195035,23,4.13606,0.508743412,39.90155792,97.30824,16.85315591,,5636.213547,0.795861538,45.62982559,1.010171994,9.0087,56.1,37.21981411,99.3626,117.158,15.55103874,107,5.034141541,13.40076857,11.84228,71.731,10.16584826,0.72416476,,21.17304103,0.702144593,-0.467,,15.8,23.4062,0.627977131,4461.67789,,7.32865,13.6,10.12033,4741.824603,,1.06,49.83694,0.725353667,95.20702,0.831586723,67.584,,14.02364,11.97405,24.20360016,21.78217822,3.025,11.55097,38.75817871,12.43917275,96.17194,22.632,11.91596,Moldova (Republic of),35.57582697,,0.665782209,108.039652,75.871,0.223,0.232319433,,,,0.6,-4.103547,0.591724763,42.01673889,5026.259922,0.699040531,,12.08478
,0.190344,11.9728,0.597377268,0.005,65.092,0.400311779,156,,0.383874773,52.07546997,44.81506,,,4149.212158,0.716646154,76.18976593,0.907411291,26.8588,,,74.91602,,21.78720474,142,13.96670818,5.683621724,5.949599983,66.582,24.72581635,0.524163597,,78.5226261,0.542066878,-6.2,84.93819,47.3,,0.43186857,1999.805545,34.35115,21.425,34.6,24.6896,,38.77644,1.03,25.822249,0.509464561,30.82567,1.128847552,64.542,51.20733,25.785,4.689200336,,18.18181818,0.104,11.70365,45.28595352,55.83333333,37.67452,84.312,5.3066035,Sao Tome and Principe,18.47265528,113.6002,1.353871124,65.094856,68.584,0.03,0.523864993,13.40603,,,,,0.517246881,60.5294342,3069.845164,0.573727338,,12.24599
,5.373502,10.80122,,0.224,50.037,,42,11.4071,,55.76426315,,83.43653608,,18855.86955,0.7036,77.54969788,,25.987,,,99.69291,,19.45227051,111,9.993180275,6.144658853,,65.734,,0.520755468,,41.73859007,,-0.96,,51.4,0.042856,,9358.556262,,,43.7,,15527.40393,,1.05,14.996775,0.629306222,,1.03668301,61.634,,,,,25.80645161,3.632,11.04477,47.25304413,8.782159045,,16.374,9.87817,Turkmenistan,26.39030832,,0.989670264,145.938754,70.044,0.528,,,,,,,0.746741866,61.95559311,14025.83138,0.691490343,,10.55207
,2.878405,16.52306,0.834327028,0.543,66.508,0.832941206,10,1.52107,0.675286089,53.52252579,95.61561,76.82013909,,30532.83781,0.823,65.45909882,1.031587977,5.4673,,47.47819961,99.81988,154.703,17.58569336,37,9.477295876,28.28414904,12.7103,73.495,10.48104126,0.778004121,,21.78190619,0.860681731,-11.3,,5.2,3.33098,0.759209003,22144.3551,,5.60263,3.3,10.22657667,26396.86808,,1.05,71.378,0.882377556,91.05434,1.018423252,67.873,,19.6098,12.69378,,23.40425532,1.919,15.96444,53.91115952,34.7826087,93.06396,11.002,12.70211,Lithuania,43.13387341,,0.768870029,139.51638,79.067,0.152,0.120969561,,,,,-2.551386,0.84001046,59.12607574,26006.47764,0.848098563,,17.09972
,15.577899,10.90489,0.592442658,0.641,20.723,0.333355322,161,9.42367,0.413292714,80.47179413,26.108,51.06779898,,3563.160148,0.750876923,86.71705627,0.892453205,19.7244,,53.94568595,77.18598,141.741,0.821613491,143,0.502257824,6.4062806,5.49,68.807,22.51802309,0.602770955,,49.16363899,0.528727349,-2.004,,28.7,2.20178,0.436287215,2649.847249,,27.30485,24.6,22.43973333,3278.221215,,1.05,19,0.458566111,13.172,0.789921009,66.662,,20.28995,3.683188,21.18111359,19.02173913,10.013,11.748935,75.5332489,53.57466576,19.64,51.613,4.669575,Cambodia,23.94963024,,0.627571428,133.000348,70.75,1.772,0.478936247,,,,0.6,,0.518495114,80.87802124,3095.317595,0.563082194,,10.060845
,99.39075,8.35152,0.48430364,3.462,19.472,0.201769497,353,3.52243,0.372292105,78.43946075,20.71590788,152.0572905,,1886.683626,0.686184615,89.06385803,0.842453693,30.3257,,,49.0907,37.1732,7.605864048,174,5.450455666,6.325619289,3.704304669,64.602,26.3145732,0.478094327,,75.24205918,0.40800339,-0.128,,59.2,1.01462,0.329926837,1160.508392,,36.553,41.4,25.45869667,1529.893783,,1.04,11.6,0.318012667,10.78425599,1.60738073,62.66,,9.49739,1.549735209,39.28980886,37.28571429,54.74,8.82004,76.99398804,12.499,15.75008194,58.366,2.580780019,Ethiopia,18.62007705,,2.71299175,42.764029,66.592,14.602,0.498626664,,,,,,0.411360629,82.96122742,1522.954782,0.447750459,,7.87425
,7.287983,15.67329,0.936915849,1.097,100,,,58.3503,,58.33679962,74.65681,389.9763432,,70933.28209,0.987123077,68.45483398,0.963490165,2.7631,,211.5238985,,399.956,9.545998573,12,3.32803607,20.6368381,12.4,84.163,,0.959847879,,16.38924523,0.902709205,4.201,,,0.119376,,39513.71869,,,,,53379.73681,,1.07,84.948353,0.8217247,80.87052,0.88795788,81.355,,,11.46903558,22.61929835,,5.319,15.51453,53.35204697,,77.44467,3.204,11.59066599,"Hong Kong, China (SAR)",43.17999131,,0.833496416,228.831566,86.996,0.368,,,,,,6.93546,0.95111682,60.34510803,54264.91478,0.917157319,,15.78624
,1.28697,11.4139,0.580210247,0.045,21.308,0.398874753,389,-2.97826,0.407528094,38.55726242,30.478,10.206133,,10020.11762,0.445276923,64.15380859,0.853172267,34.9616,,16.77160744,87.47019,,52.960392,148,25.61727905,6.066203315,7.212255244,48.943,33.26367292,0.289600986,,63.24678041,0.495019292,-0.968,,60.7,0.603325,0.361075521,5077.611904,,26.81536,44.5,33.11068,7930.358126,,1.03,30.382701,0.54502523,27.33,1.022965582,49.632,,37.55508,6.389164179,,14.73684211,0.761,11.7844,40.03783417,34.06976744,28.842,70.424,6.839173574,Swaziland,20.51287956,,1.159607074,73.200007,48.078,0.173,0.565807948,,,,28.8,,0.652620092,51.83631897,7521.816682,0.541047936,,11.03855
,0.583591,9.61,,0.02,22.329,0.343165881,114,1.89298,0.30584739,43.90202332,,1.200770993,,2045.349976,0.740107692,73.5185318,,22.2748,,24.33210307,,98.208,51.48773575,156,34.82207108,5.944084267,,68.107,23.82451346,0.575250184,,69.1386433,,-4.278,,28.1,1.60344,0.392303229,1061.095961,,22.82,23.6,23.80326667,2057.555707,,1.07,10.000465,0.444630579,,1.00330535,66.716,,26.315,,,2,0.332,10.06305387,61.13087845,78.06359414,,48.425,5.330584024,Solomon Islands,19.88504237,,1.033145156,72.664684,69.648,0.082,,,,,,-1.426537,0.415074154,67.35719299,1560.858813,0.514999308,,9.13295554
